Thousands of Passengers,month,Differenced
121,5,-11.0
135,6,6.0
148,7,27.0
148,8,13.0
136,9,-12.0
119,10,-29.0
104,11,-32.0
118,12,-1.0
115,1,11.0
126,2,8.0
141,3,26.0
135,4,9.0
125,5,-16.0
149,6,14.0
170,7,45.0
170,8,21.0
158,9,-12.0
133,10,-37.0
114,11,-44.0
140,12,7.0
145,1,31.0
150,2,10.0
178,3,33.0
163,4,13.0
172,5,-6.0
178,6,15.0
199,7,27.0
199,8,21.0
184,9,-15.0
162,10,-37.0
146,11,-38.0
166,12,4.0
171,1,25.0
180,2,14.0
193,3,22.0
181,4,1.0
183,5,-10.0
218,6,37.0
230,7,47.0
242,8,24.0
209,9,-21.0
191,10,-51.0
172,11,-37.0
194,12,3.0
196,1,24.0
196,2,2.0
236,3,40.0
235,4,39.0
229,5,-7.0
243,6,8.0
264,7,35.0
272,8,29.0
237,9,-27.0
211,10,-61.0
180,11,-57.0
201,12,-10.0
204,1,24.0
188,2,-13.0
235,3,31.0
227,4,39.0
234,5,-1.0
264,6,37.0
302,7,68.0
293,8,29.0
259,9,-43.0
229,10,-64.0
203,11,-56.0
229,12,0.0
242,1,39.0
233,2,4.0
267,3,25.0
269,4,36.0
270,5,3.0
315,6,46.0
364,7,94.0
347,8,32.0
312,9,-52.0
274,10,-73.0
237,11,-75.0
278,12,4.0
284,1,47.0
277,2,-1.0
317,3,33.0
313,4,36.0
318,5,1.0
374,6,61.0
413,7,95.0
405,8,31.0
355,9,-58.0
306,10,-99.0
271,11,-84.0
306,12,0.0
315,1,44.0
301,2,-5.0
356,3,41.0
348,4,47.0
355,5,-1.0
422,6,74.0
465,7,110.0
467,8,45.0
404,9,-61.0
347,10,-120.0
305,11,-99.0
336,12,-11.0
340,1,35.0
318,2,-18.0
362,3,22.0
348,4,30.0
363,5,1.0
435,6,87.0
491,7,128.0
505,8,70.0
404,9,-87.0
359,10,-146.0
310,11,-94.0
337,12,-22.0
360,1,50.0
342,2,5.0
406,3,46.0
396,4,54.0
420,5,14.0
472,6,76.0
548,7,128.0
559,8,87.0
463,9,-85.0
407,10,-152.0
362,11,-101.0
405,12,-2.0
417,1,55.0
391,2,-14.0
419,3,2.0
461,4,70.0
472,5,53.0
535,6,74.0
622,7,150.0
606,8,71.0
508,9,-114.0
461,10,-145.0
390,11,-118.0
432,12,-29.0
