Year,Date,Value
1970,1970-01-01,35.2
1971,1971-01-01,37.4
1972,1972-01-03,43.5
1973,1973-01-01,63.9
1974,1974-01-01,106.7
1975,1975-01-01,183.9
1976,1976-01-01,140.3
1977,1977-01-03,134.5
1978,1978-01-02,165.0
1979,1979-01-01,226.0
1980,1980-01-01,512.0
1981,1981-01-01,589.75
1982,1982-01-01,397.5
1983,1983-01-03,456.9
1984,1984-01-02,382.4
1985,1985-01-01,308.3
1986,1986-01-01,326.8
1987,1987-01-01,388.75
1988,1988-01-01,484.1
1989,1989-01-02,410.25
1990,1990-01-01,398.6
1991,1991-01-01,386.2
1992,1992-01-01,353.15
1993,1993-01-01,332.9
1994,1994-01-03,391.75
1995,1995-01-02,383.25
1996,1996-01-01,387.0
1997,1997-01-01,369.25
1998,1998-01-01,290.2
1999,1999-01-01,287.8
2000,2000-01-03,290.25
2001,2001-01-01,274.45
2002,2002-01-01,276.5
2003,2003-01-01,347.2
2004,2004-01-01,416.25
2005,2005-01-03,435.6
2006,2006-01-02,513.0
2007,2007-01-01,632.0
2008,2008-01-01,833.75
2009,2009-01-01,869.75
2010,2010-01-01,1087.5
2011,2011-01-03,1405.5
2012,2012-01-02,1531.0
2013,2013-01-01,1657.5
2014,2014-01-01,1204.5
2015,2015-01-01,1206.0
2016,2016-01-01,1060.0
2017,2017-01-02,1145.9
2018,2018-01-01,1291.0
2019,2019-01-01,1279.0
2020,2020-01-01,1514.75
